epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,2797.33,0.33574,0.27431,0.82757,0.9243,0.72818,0.81065,0.68811,0.44309,0.39039,0.86581,5.91708e-05,5.91708e-05,5.91708e-05
51,2852.61,0.34176,0.2753,0.83269,0.93251,0.7254,0.81224,0.69209,0.43162,0.3894,0.86454,5.83375e-05,5.83375e-05,5.83375e-05
52,2907.09,0.3349,0.27418,0.83182,0.93638,0.72538,0.8098,0.68858,0.43826,0.40383,0.87135,5.75042e-05,5.75042e-05,5.75042e-05
53,2962.03,0.33664,0.27039,0.82957,0.92935,0.72681,0.81249,0.68997,0.43176,0.40337,0.86743,5.6671e-05,5.6671e-05,5.6671e-05
54,3016.03,0.33111,0.26548,0.83232,0.93075,0.73336,0.80886,0.68819,0.43044,0.41694,0.86477,5.58377e-05,5.58377e-05,5.58377e-05
55,3070.66,0.32756,0.26601,0.82842,0.91979,0.7396,0.81291,0.68928,0.4335,0.39258,0.8719,5.50045e-05,5.50045e-05,5.50045e-05
56,3126.5,0.32633,0.26923,0.83258,0.916,0.73437,0.80918,0.68966,0.43658,0.40247,0.86923,5.41713e-05,5.41713e-05,5.41713e-05
57,3182.62,0.32904,0.26581,0.82797,0.92359,0.72203,0.81106,0.68993,0.43007,0.39557,0.86366,5.3338e-05,5.3338e-05,5.3338e-05
58,3239.21,0.32456,0.25853,0.82517,0.91397,0.73032,0.80855,0.68981,0.43037,0.39489,0.86962,5.25048e-05,5.25048e-05,5.25048e-05
59,3294.79,0.32369,0.2605,0.82897,0.94733,0.71027,0.81247,0.69376,0.43551,0.39433,0.87632,5.16715e-05,5.16715e-05,5.16715e-05
60,3349.2,0.31728,0.25503,0.82386,0.93612,0.7298,0.8092,0.69252,0.43915,0.388,0.88327,5.08383e-05,5.08383e-05,5.08383e-05
61,3403.29,0.32286,0.2602,0.82913,0.94313,0.718,0.80787,0.69086,0.43866,0.41203,0.87607,5.0005e-05,5.0005e-05,5.0005e-05
62,3457.77,0.32005,0.25657,0.82729,0.95248,0.70899,0.80881,0.69495,0.42337,0.39996,0.8659,4.91718e-05,4.91718e-05,4.91718e-05
63,3512.46,0.31545,0.25239,0.82552,0.93331,0.72266,0.80691,0.69719,0.42949,0.38755,0.875,4.83385e-05,4.83385e-05,4.83385e-05
64,3566.93,0.31259,0.25245,0.82458,0.93107,0.73,0.80968,0.69484,0.41858,0.38614,0.86556,4.75053e-05,4.75053e-05,4.75053e-05
65,3621.75,0.31393,0.24993,0.82151,0.9433,0.73392,0.81739,0.70137,0.42533,0.37481,0.86926,4.6672e-05,4.6672e-05,4.6672e-05
66,3679.73,0.31273,0.24978,0.82217,0.93179,0.72601,0.81002,0.68947,0.42334,0.39377,0.86695,4.58388e-05,4.58388e-05,4.58388e-05
67,3735.7,0.31266,0.24784,0.8234,0.9288,0.74384,0.8121,0.69602,0.42054,0.39133,0.86404,4.50055e-05,4.50055e-05,4.50055e-05
